position,skills
Software Developer,"PLSQL,SCM,Payroll,BPO,Oracle Reports,Staffing,Oracle Workflow,business process outsourcing,Technical,MAR"
Software Developer,"3ds max,etabs,revit architecture,reverse engineering,revit mep,auto cadd,nx,staad pro,autocad,catia,hypermesh,revit,3dsmax"
Client Servicing/Key Account Manager,"Computer science,Business administration,Graphic designing,Sales,Illustrator,Time management,Business Development Manager,Sales Executive,Digital marketing,Photoshop"
Sales/Business Development Manager,Sheet Metal
Sales Executive/Officer,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Software Developer,"Java,Ios Sdk,Html5,Javascript,Objective C,Appcelerator,Android SDK,JQuery,XCode,Ajax"
Teacher/ Private Tutor,"Teaching,IELTS Faculty"
Software Developer,"development,sql server,winforms,asp net mvc,c#,server,entity framework,sql,linq,net technologies,asp.net,vb net,.net"
Software Developer,"Production support,SSRS,support"
Content Developer,"Content Creation,Content Developer,Content Writing,content"
Testing Engineer,"Performance Testing,Load Runner"
Software Developer,"C,C++,I2C,SPI,ARM,UART,Linux,Embedded Software,ARM7,Firmware Development,SOC,Android,firmware,Embedded,Medical Devices"
Design Engineer,"Help Desk,Customer Service,data analysis,customer relationship,access controls"
System Administrator,"Administration,VMware,SAN,Automation,Email,Networking,WAN,Customer service,Troubleshooting,Virtualization"
Recruitment Executive,"US Staffing,c2c,Dice,US IT Recruitment,w2,us recruitment"
Accounts Executive/Accountant,"Customer service,Reconciliation,Analytics,Change management,Manager Internal Audit,Variance analysis,Gl accounting,Financial Analyst,Financial statements,Diversity and Inclusion"
Manager / Sr Manager - Administration,"Administration,Scheduling,Operations,Business Executive"
Animation/Graphic Artist,"fundamentals,Art,change.,production,Photoshop"
System Administrator,"Troubleshooting Skills,Networking,Windows Server,DNS,Switch Configuration,System Administration,Network Administration,Server Management,DHCP,WinTEL"
Software Developer,"Principal,Manager Quality Assurance,Linux,Product Management,Software Design,Tcp,Ethernet,Computer Science,System Architecture,Configuration Management"
Social Media Marketing Manager,"Digital Marketing,Advertising Agency,Social Media Marketing"
Team Lead/Technical Lead,"system verilog,uvm,perl,rtl coding,design verification,c++,digital design,logic design,tcl,Nand,Nand Flash,Flash memory,verilog"
Sales/Business Development Manager,"Business Development,ODesk,International Sales,Digital Marketing,Lead Generation,Online Bidding,IT Sales,Online Sales,Client Retention,Target Achievement"
Associate/Senior Associate -(Technical),"active directory,it helpdesk,windows server,server management,technical support,desktop support,help desk operations,it service desk,server os,it support,dhcp server,network engineer,system administration,ms exchange,office 365"
Lecturer/Professor,"teaching,curriculum development,lecturer activities,supervision,staff development,lecturer,faculty,Physiology"
Sales Executive/Officer,"B2C Sales,Direct Sales,business development,bdm,business development manager,sales marketing,Revenue Generation,Educational Sales,Sales,Lead Generation,sales insurance,Corporate Sales"
Key Account Manager,"Software Sales,Lead Generation,Cold Calling,Auditing,Core Banking,External Audit,Presales,Managed Services,Security Services,Bfsi,Cloud"
Counselor,"Sales,Selling"
Software Developer,"Business process,Printing,SAP,SAP ABAP,Functional testing,Social media,Transport management,Test planning,Documentation tools"
HR Manager,"HR Generalist Activities,Human Resource Management,HR Generalist"
Sales/Business Development Manager,"Automation,Social media,Google Analytics,Automation tools,Product sales,Marketing promotions,Psychology,Sales achievement,Network management,Networking"
Branch Manager/Regional Manager,"Team Management,Team Handling,Heading Branch,Cross Selling,Branch Management,Life Insurance,Direct Sales,Insurance,Region,Capacity Building"
CEO/MD/Director,"Process audit,Brand management,Wealth management,Investment advisory,Asset management,Management,Organization design,Financial services,Capacity planning"
Relationship Executive,"Administration,Report Generation,Policies,procedures,Analysts,Data Entry,analytical skills,Risk Management"
Client Servicing/Key Account Manager,"Sales,Cold Calling,Business Development"
Software Developer,"c++,C,design,MySQL,JavaScript,HTML"
RFI / RFP Manager,"Solution architect,RTR,Solution design,Finance & account delivery.,RFI,Presales,Finance& account operation,RFP,OTC"
Associate/Senior Associate -(NonTechnical),"bpo,call center,customer service executive,cse,technical support,voice,international bpo,international call center,customer service associate,csa,technical support associate,fresher,airlines,undergraduate"
Pay Roll/Compensation Manager,"Payroll,Statutory Compliance"
Sales Executive/Officer,"digital marketing,bd,Direct Sales,retail sales,bdm,Sales Executive,Sales Officer,enrollment,marketing,sales management,lead generation,business development executive,telecalling,revenue collection,Business Development,career counselling"
Software Developer,"CSS,Javascript,UI Development,JQuery,HTML,JSON,Node.Js,Karma,MySQL,Rest"
Software Developer,"CSS,Backend,UX,Front End,Html5,Web Technologies,Javascript,Bootstrap,Web Application Development,React.Js"
Service/Maintenance Engineer,"CNC Programming,PLC Programmer"
Software Developer,"Google Analytics,Javascript,HTML,CSS,UX,PDF,UI"
Software Developer,"Open source,SDK,Animation,ios development,Web technologies"
Team Lead/Technical Lead,"node js,HTML 5,rest,css,web services,html5,bootstrap,javascript,jquery,sql server,json,html"
Recruitment Executive,"consulting,mis,appraisal,fmcg,industrial relations"
Purchase/Vendor Development Manager,"purchase assistant,purchase vendor development"
Software Developer,"C++,Android Application,Opengl"
Software Developer,"C#,OOPS,Javascript,.Net,HTML,MVC,ASP,AJAX,SQL"
Maintenance Engineer,"Racks,Hardware Installation,Technical Support,L2,Data Center Operations,IT Infrastructure,Device Installation,Vendor Management,Branch Offices"
Software Developer,"CSS,Javascript,HTML,MySQL,Bootstrap,Web Development,MongoDB,Web Services,NoSQL,User Interface Designing,UI Designer,Angularjs,Node.Js,Python Developer,Python,GCP,Web Developer"
Medical Representative,"marketing,Sales,client servicing,business development,Medical Equipment"
Regional Manager,"National Sales,Marketing,Customer Retention,Top Management,Retention Strategies,sales"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Sales,Inbound calls,Inbound voice process,US shift,Medical,Comp"
Analyst,"structured finance,financial modelling,new product development,Legal Documentation"
Draughtsman,"projects,min,consultants,documents,production,cad,design,mep"
Head/VP/GM/National Manager -Sales,"national sales,marketing,Container Terminal,exim,logistics,warehousing,warehouse,3PL"
Software Developer,"C++,C,Multithreading,Device Driver,Mac OS,Kernel,IoT"
Software Developer,"assembly language,Six Sigma,PMP,C,JavaScript,.NET,HTML,Oracle,Python,SQL"
Telesales/Telemarketing Executive/Officer,"Business Analyst,Consulting,MS Office tools,Inside Sales Executive,Interpersonal skills,Lead generation,Basic,Database,Research"
Software Developer,"functions,Stored Procedures,PLSQL,Oracle,triggers,pl / sql"
Logistics Manager,"soft skills,supply chain management,international marketing,logistics,business development management,export marketing,batch planning"
Software Developer,"Perl,Physical design,Graphics,SOC,DFT,Gaming,Front end,Budgeting,Backend,Timing closure"
Media Planning Executive/Manager,"Business Analyst,English,Tracking,CV,Manager Client Servicing,Writing,Relationship,Agency,mass,Hons"
Chartered Accountant,"Accounting,Finance,Loss,VAT,Chartered Accountant,Gst,Profit,Taxation,fund flow,Balance Sheet,Auditing,Cash Flow"
Software Developer,"C++,Linux,Networking,Computer science,VMware,3G,IPV6,Telecommunication,Troubleshooting,Virtualization"
Sales Executive/Officer,"saving account,current account,sales"
Graphic Designer,"creative designer,dreamweaver,Promotions,Creative Designing,Social Media,Illustrator,Campaigns,photoshop,graphic designer,Advertising,Software Design,Marketing"
Financial Analyst,"mba finance,investment banking,capital market,mcom,back office,bse,nse,derivatives,debentures,equity,money market,shares,hedging,Financial Analysis"
Associate/Senior Associate -(NonTechnical),Customer Care Executive
Project Manager-IT/Software,"C#,Kendo Ui,ASP.Net,Entity Framework,MVC,Telerik,WPF,JQuery,Prism,Ajax"
Software Developer,"GIT,MySQL,PHP,MS SQL,Web technologies,web,oops,Database,Time,Business Executive,Application,WHO"
Software Developer,"angularjs,postgresql,mean stack developer,javascript,Mean Stack,Python"
Associate/Senior Associate -(NonTechnical),"Customer Service,Semi Voice"
Technical Architect,"automation,devops,PAAS,jenkins,IAAS,ansible"
Corporate Communication Executive,"Senior Executive,Facebook,Email,Comm,Copyright,HR,English language,Media,Business Executive,Writing"
HR Business Partner,"hr policies,pms,time office management,human resource management,labour laws,hr functions,core hr"
Software Developer,"Data structures,JSON,Android SDK"
Technical Support Engineer,"Spring,hibernate"
Software Developer,".Net,SQL,Technical support,MVC,SDLC,Visual Basic,Software design,CSS3,Software development life cycle,Programming"
Testing Engineer,"development,j2ee,inter,automation,microsoft,standards,regression,web based applications,agile,functional testing"
Database Architect/Designer,"Business Intelligence,Analytics"
Software Developer,"css,Web Technologies,Maintenance,javascript,Wordpress Developer,Wordpress,PHP,html,Web Development,Core PHP,Ajax"
Project Manager-IT/Software,"Computer science,Performance management,TDD,Conflict resolution,Performance testing,Agile,Scrum,JIRA,Continuous improvement,SDLC"
Associate/Senior Associate -(Technical),"Social media,Sales process,Tele Counsellor,Consultancy,Management,Counselling"
Software Developer,"Computer science,GIT,HMI,Agile,Electronics,Instrumentation,SDK,Object oriented programming,SDLC,Automotive"
Chartered Accountant,"MIS,Financial services,NSE,Excel,Assistant Manager Operations,Business Executive,Product training,Banking"
Graphic/Web Designer,Web technologies
Software Developer,"software architecture,Angularjs,laravel,Yii,php,mvc,symfony,Codeigniter"
Finance/Budgeting Manager,"Tally,Budgeting,Forecasting,Financial statements,Performance management,Accounting,Consulting,Cash flow,Business solutions,Continuous improvement"
Content Developer,"Social media,Creative writing,Research,Production,Journalism,Deployment,Management"
Software Developer,"ASP.Net,.Net,MVC,ASP.Net MVC,JQuery"
Teacher/ Private Tutor,"Counselor,maths,Mentor,Trainer,Advisor,Teaching"
Technical Architect,"BPO,Technical Architect,Payroll,SOA,Staffing,Presales,WPS,Middleware,RFP,Business Executive"
Apparel/Garment Designer,Designer
Software Developer,"Java,Computer Science,JEE,C,SQL Queries,Software Development,Design Patterns,Database,Agile Methodology,Memory Management"
Head/VP/GM-Corporate Planning/Strategy,Pricing Strategy
Sales/Business Development Manager,Expansion Manager
Accounts Manager,"Administration,Credit Officers,Report Generation,Analysts,analytical skills,Risk Management"
Head / VP/ GM/ National Manager After Sales,"Project Execution,Sales,Key Accounts,collection"
Sales Executive/Officer,"Sales Executive,Customer Service Executive,Front desk,UPS"
Fresher,"Customer Care,International BPO,Call Center,Inbound Process,Cce,Night Shift,Calling,Non Voice Process,KPO,Outbound,Sales,Marketing,Customer Support,Back Office,Non Voice,Domestic BPO,Data Entry,Voice Process,MNC"
Operations Manager,"Communication Skills,Project Management,Renewable Energy"
Sales Executive/Officer,"Retail Sales,Sales,Visual Merchandising,Merchandising,Sales Associate"
Program Manager,"online marketing,Receiving,Internet Marketing,Content Writing"
Head/VP/GM/National Manager -Sales,"Healthcare,Team building,Monitoring,New product development,Cost benefit analysis,Secondary sales,Product pricing,Division Head,New market development,Finance"
